"選舉
區",號次,照片,"姓
名","出
生
年","性
別","特殊
身分","戶籍
城市","戶籍
地區",學歷,經歷,政見
"新
竹
縣",1,,"鍾
嘉
祐",80,男,無,"新
竹
縣","寶
山
鄉",,"台灣生態教育推廣協會
講師
新竹黨部寶山區主任
新竹寶山鄉鄉民代表
新竹黨部副主委","要經營地方就是多做事少說話
要深入民意就是多走動少說話
要為民爭取權益就是多說話少作秀
我們很需要人才
但更重要的事要讓地方與中央連上線
讓適當的人才放在適當的位置
讓事情更好的完成讓聲音更好的傳遞
讓民眾黨更好"
"新
竹
縣",2,,"游
雅
婷",70,女,無,"新
竹
縣","竹
北
市","中山大學企業管理
學系碩士",竹北市民代表,"台灣民眾黨是一個家,有信念的一群人所在的家。
我主張:
1.傾聽黨員的心聲:
讓黨中央了解在地黨員的聲音
2.對內凝聚向心力:
具體的長期交流,讓民眾黨的支持者成為更緊密的家人
3.對外深耕地方:
舉辦各型活動,讓民眾黨的信念深植人心。
4.人才培育制度:一對一指導教練制度,完備民眾黨基
層培育制度,建立人才資料庫。
5.達成2026選舉目標:
a.新竹縣議會民眾黨團
b.多席鄉鎮市民代表與里長"
"新
竹
縣",3,,"吳
俊
民",67,男,無,"新
竹
縣","竹
東
鎮","國立東華大學電機
工程博士","國立交通大學電信工程
研究所博士後研究
民眾黨竹東區主任","1. 建構民意決策平台與組織改造,透過民眾與黨員參與
得以快速回應民意做出決策,確保黨中央與地方民意的
落實接軌。
2. 強化黨內溝通網路化、服務數位化工作。為黨公職人
員建立多元管道以更加貼近青年人及黨員,讓自己黨內
之黨公職人員能取得更廣的觸及面,以強化黨公職人員
的在地基層熟悉度。
3. 強化黨中央與地方溝通管道之信任基礎,定期或不定
期進行開放性討論,凝聚黨內共識與團結,存異求同爭
取民眾信任。
4. 強健政黨競爭力,政治市場上的政黨競爭,民眾黨要
建立自家主力商品,加強地方人才培育與地方政策研
發,以建立黨內人才資料庫與地方政策,協助未來黨內
可能參選之候選人在地資源,政黨的競爭力建立在地方
基礎,地方基礎建立在拓展經營。"
"選舉
區",號次,照片,"姓
名","出
生
年","性
別","特殊
身分","戶籍
城市","戶籍
地區",學歷,經歷,政見
"新
竹
縣",4,,"林
子
丞",72,男,無,"新
竹
縣","竹
東
鎮","玄奘大學-法律學
研究所","新竹園區上市公司-法
務主管。
竹東鎮國家賠償事件處
理委員會-審議委員。
竹東鎮調解委員-調解
委員。
新竹縣希望小草社會公
益協會-籌備人。","「我們不應指望海水變得平靜,要學會在強風之下繼續
航行」
唯有民眾黨強大起來才能改變台灣的政治,給我一個機
會當選黨代表,2026年我有信心幫民眾黨在新竹縣多拿
下一席議員,並協助培養更多民眾黨的基層民意代表。
您好,我是林子丞,民眾黨黨代表候選人,於2022年榮
幸獲得新竹縣竹東鎮議員提名,但有負眾望未能當選,
所以這次參選黨代表希望爭取對黨內黨員的服務機會,
懇請您給子丞一個機會。
自我介紹:子丞在新竹縣擔任過八年的基層里長經驗,
經營了多年的長照據點服務長輩,自費設立服務據點辦
理大量多元化課程,每年辦理犬貓免費節育活動,及公
益電影包場。
子丞的政見說明如下:
一、協助發展組織,健全地方系統
1、定期辦理黨員與中央見面會以強化黨內意見傳達
2、定期辦理地方黨員活動以活化黨內互動
3、自費設立服務據點辦理黨員活動
4、黨內大小活動,我有能力募集經費
二、選舉經驗分享,協助人才培育,全力輔選黨提名各級
候選人
1、八年里長基層服務經歷
2、有里長、議員、鎮長的參選經驗
3、全力輔選為地方培育民意代表
以上是子丞的簡短說明,如果有不足的地方懇請指教,希
望大家能給我一個機會,感謝大家。更多的訊息FB林子
丞"
"選舉
區",號次,照片,"姓
名","出
生
年","性
別","特殊
身分","戶籍
城市","戶籍
地區",學歷,經歷,政見
"新
竹
縣",5,,"柯
美
蘭",51,女,無,"新
竹
縣","竹
北
市","國立台灣大學生理
學研究所博士","新竹臺大醫院眼科主治
醫師
清華大學生醫工程與環
境科學系教授","1.以專業能力守護人民健康,教導衛教概念,每月辦理
數場衛教演講,尤其對於老年人給予特別關懷,以建立
良好緣份,突破同溫層,讓更多人認識民眾黨。
2.蒐集黨員意見,聆聽黨員心聲,提供給中央黨部以做
更適當的策略。
3.以感謝感恩的心情,凝集小草的向心力。
4.以行動實際參選,學習募款,以了解選舉的酸甜苦
辣、情資蒐集、認識地方,制定參選策略、搶攻票源。
5.未來會以先前參選獲得的補助款,補助所有在新竹縣
市參予各層級選舉的民眾黨代表,鼓勵更多的民眾黨員
參與地方選舉。
6.以自我參選之經驗,協助民眾黨參與新竹縣市各層級
地方選舉,以獲得更多席次。
7.每月辦理一粒沙公益協會演講,降低黨色彩,邀請非
黨員的外賓演講,及其親友聆聽,並讓會員學習跨領域
知識之外,並與非黨員建立善緣。
8.未來會花更多心力在民眾黨部,協助監督財政,提供
策略給組織部、擴大文宣做組織戰。
9.拜會他黨前輩,請益政黨政治經驗,提供中央黨部參
考。
10.拜會各項能人、專業人士,作為黨部的顧問或諮詢
者,協助民眾黨成長。"
"新
竹
縣",6,,"徐
勝
凌",69,男,無,"新
竹
縣","新
豐
鄉","國立東華大學企管
碩士","台灣民眾黨第2屆黨代
表
台灣民眾黨新竹縣黨部
新豐區主任","1. 鞏固以柯文哲主席為領導核心之黨內體制,防堵其他
政黨勢力滲透黨內。
2. 協助新竹黨部於新竹縣市各地尋找有意願從政之優秀
同志扎根地方,力求 2026 擴大地方選舉席次。
3. 為新竹黨部及黨員同志發聲,向黨中央爭取更多資源
以健全地方黨務發展地方組織。
4. 分享本身 2022 選舉經驗,輔助有意投入2026地方選
戰的黨員同志,並引導參選者快速進入備戰狀態。"
